text,label
独立工作能力强，态度积极, 0
优秀助理辅导员, 0
结合现场条件和当地商圈情况等，进一步采取优化措施, 2
接受早晚倒班制, 2
优化库存结构, 2
工作激情, 0
学习能力强, 0
真实正直, 0
为人正直有韧性, 0
优化招聘制度和流程, 2
协助客户制定合理的集团定价策略, 1
学习钢琴，学习音乐相关知识，学习语言等等，环境适应能力强，能与不同性格的同事进行很好的合作工作, 2
责任心强, 0
负责管理猎头项目的客户资源，协调部门员工的分工，做好客户服务工作, 0
优化招聘流程，提升招聘效率, 2
善于学习自己感兴趣的知识和事物, 0
廉洁公正、品行端正, 0
具有较强的抗压能力, 2
有着良好的学习能力以及适应抗压能力，在毕业之后仍保持着对于不同事物的学习，学习与人沟通的话术, 2
优化各类型门店的商品配置及补货参数, 2
Identify service opportunities and work with relevant functional specialists (across different Business Units/Lines of Services) to upsell and broaden our support for our clients, 1
配合其他行政事务和团队建设等, 1
协助产品开发上市, 1
包容性强, 1
有拼搏精神、很强的内驱力和抗压能力, 2
性格活泼开朗，有责任心, 1
善沟通, 0
热爱所在的每一个行业, 0
协助对接投资机构，寻找合适的投资项目，完成项目立项意见，形成投资方案, 1
根据协会安排或者同学在校园内网影视系统提出的需求, 0
踏实认真, 0
抗压，愿意从基层做起, 2
与学生会等多个部门合作, 1
协助人力部门培训及团队活动具体事项, 1
协助财务经理处理日常工作, 1
乐观开朗，积极向上，脚踏实地, 1
在职期间，绩效成绩排名在团队第2名, 0
高度敬业精神, 0
有保密意识及良好职业道德, 0
2020年年度绩效为优秀，排名前10%-15%, 0
ERP、WMS系统逻辑优化, 2
优秀志愿者, 0
优化物流线路，制定物流串联机制，推行可视化仓储管理, 2
高效的执行能力, 0
高度的工作热忱, 0
勤于思考, 0
本人性格外向开朗，随和, 1
待人热情，为人随和，敢于沟通, 1
诚信、守正, 0
抗压能力强，适应较快工作节奏, 2
优化供应商导入及管理制度, 2
足够抗压, 2
协助制定及执行公司人力资源管理制度, 1
在工作中刻苦努力，积极肯干，善于动脑，具有主观能动性, 0
抗压能力强, 2
自我驱动, 0
协助项目投资过程中的协议起草、交易架构制定并协助完成出资, 1
推动供应链全链路降本, 2
诚实可信, 0
抗挫力, 2
有较强的抗压能力和适应能力, 2
具备良好的客户服务意识及售后处理能力, 0
头脑灵活，积极主动, 0
诚实守信、人品可靠, 0
优化供应链组织与流程，主导梳理、设计、研讨、修正、培训与试行了 36 个流程, 2
打破部门墙、提升供应链整体运作效率, 2
抗压性, 2
做事认真负责、能吃苦、愿意学, 0
自我驱动, 0
制定物流预算、优化审批标准, 2
具有较强的工作责任心, 0
完成社团的各项工作总结报告, 2
遇到困难时乐观积极、不会轻易气馁, 2
具备强烈的责任心, 0
良好的服务技巧, 0
优化商品结构, 2
期间获两年优秀部门、一年优秀部门总经理, 0
建立健全ROE 海外子公司各项财务管理流程制度, 2
具有很强的团队精神, 1
协助HR后台功能的健全发展，参与制订人力资源全面解决方案, 1
遵纪守法，为人正直, 0
领导并合作开展多次海外实地调研, 1
充满自信, 1
具有自我上进驱动力饱满的工作热情, 0
规范研发、市场等部门数据操作流程, 2
招聘分析复盘, 2
自我驱动力较强, 0
热爱HR相关工作，喜欢与人沟通, 0
能适应变化和承受较大的工作压力, 2
建立健全反腐败和职务侵占的制度和机制，推动公司企业文化建设, 2
协助制定组织架构、人员发展规划、内部激励政策、团队文化建设等工作, 1
独立负责深圳站全校招工作, 0
对端到端的流程进行重新梳理与优化，设计 S&OP 销售与运营计划体系, 2
协助组长进行小组业务与人员管理工作, 1
对工作富有责任心, 0
能够独立承担责任, 0
一定的美学素养，细节敏感，热衷跟设计抠像素, 0
结果导向、执行力强, 0
能承受较强的工作压力, 2
勤奋细致，执行力强，能在压力下工作, 2
