text,label
根据公司的业务需求，及时调整招聘流程, 2
协助人力部门进行招聘相关工作，包括搜索简历、安排面试流程, 1
对仓库进行重新规划与调整, 2
具备较强的抗压能力, 2
勤奋, 0
性格活泼开朗, 0
组织建立系统的市场调查和分析工作机制，了解市场的变化，总结市场变化的内在规律, 2
能迅速适合工作环境并融入其中，有非常好的团队协作精神, 1
参与 HR 政策、制度、体系的建设, 1
重视团队协作, 1
充满热情，积极努力, 0
热爱产品，热爱用户，热爱研究，把创造作为生活最大的乐趣来源, 0
注重团队合作, 1
与团队成员进行充分沟通, 0
能承受较大的工作压力, 2
结果导向, 0
善于倾听，思考和总结, 2
责任心重, 0
客户服务意识, 0
负责 KA 品牌的重大项目供应链协同跟进, 1
认同企业文化, 0
维护与开发客户, 0
持续改进招聘流程、方法和工具, 2
负责跨部门的供应链协同，负责牵头组织相关单元协同, 1
有激情, 0
擅长交际，乐观开朗, 1
与第三方建立良好的关系, 0
忠诚尽责, 0
勤奋细致，执行力强，能在压力下工作, 2
能吃苦耐劳, 2
能承受较大工作压力, 2
负责、敬业, 0
做事认真负责, 0
良好的团队协作能力，善于沟通与协调, 1
强烈的责任心与服务意识, 0
获得宝能集团2021年杰出青年提名, 0
协调各部门运转和协作, 1
具有良好的团队精神, 1
擅长调研行业信息，撰写报告，出解决方案, 2
发现业务改进点, 2
能处理异常问题, 2
对待工作严谨认真, 0
组织产能规划与评审、编写 MPS 与 APS, 1
能够承受一定工作压力, 2
性格开朗, 1
坦诚敢说, 0
善思考、总结与复盘, 2
主观能动性强, 0
保证服务效率体现极致服务, 0
诚实正直, 0
带着微笑心和自信会让您更加完美哦, 1
协助领导处理 ERP 上线、IPO 项目和其他临时事务, 1
强烈的责任心与服务意识, 0
优化供应链人员结构, 2
对 S&OP 进行重新梳理与优化, 2
有服务意识；服务意识强, 0
勇于接受新的挑战, 0
协助市场销售物料采购, 1
具有团队合作精神，积极参加各项活动, 1
综合素质扎实、乐观外向, 1
培训体系的优化与管理, 2
我是一个对待工作认真负责的人, 1
抗压能力强, 2
责任心强, 1
能接受30%~50%出差安排, 2
有活力, 0
超额完成业绩，绩效在团队中排名第一, 0
快速了解客户企业文化及分析客户的发展规划和人力资源需求，制定可实施的解决方案, 2
主导完善供应商开发导入和考核管理制度, 2
注重工作效率, 0
对项目结果负责；对留存和业务增长负责；为平台用户活跃、平台GMV指标等数据负责, 0
协助董事会文件起草, 1
工作态度认真负责, 0
具备吃苦耐劳精神，可以接受长期出差, 2
有一定抗压能力, 2
协助招聘经理进行简历寻访和初筛面试甄选, 1
良好的职业操守, 0
对公司内部的流程进行优化，提高工作效率和质量, 2
不泄露销售秘密, 0
两次获得学校奖学金, 0
根据业务需求提供专业方案, 2
具有较强的学习能力, 0
责任感强, 0
一定的美学素养，细节敏感，热衷跟设计抠像素, 0
有较好的抗压能力, 2
为人坦诚, 0
为客人提供准确的问询服务、保护客人隐私信息, 0
能够吃苦耐劳, 2
做事认真踏实，为人正直诚恳, 0
具备良好的敬业精神, 0
与销售团队一起梳理团队架构、团队相关需求、进行人员招聘, 1
自信乐观，具备良好的抗压抗挫能力, 2
喜欢与人沟通，有良好的人际关系, 1
乐观向上, 0
工作上仔细负责亲自亲为的管理经验和理念, 0
与团队成员进行充分沟通, 1
通过团队合作，与各部门合作, 1
独立工作能力强，态度积极, 0
有担当, 0
热爱销售工作，愿意投身互联网行业, 0
富有团队精神, 1
能很好的平衡自己的生活与工作，非常善于规划和管理自己的时间, 0
积极思考，自我驱动, 0
深入了解本行业，把握销售信息，为企业提供业务发展和价格定位的战略依据, 0
有想法、有品位, 0
配合人力资源部门一起组织开展企业文化建设活动, 1
皮实务实能抗压；抗压能力强, 2
根据既有的销售体系，完善完整销售体系和流程, 2
月度预测预估及经营分析，进行事中监控和风险预警，事后回溯并输出经营改进建议, 2
自我驱动力, 0
优化供应商管理, 2
能承受较强的工作压力, 2
热爱产品，热爱用户，热爱研究，把创造作为生活最大的乐趣来源, 0
持续调整运营策略, 2
职场精英擂台赛优秀奖, 0
2018-2019获得广州工商学院海通杯校园模拟校园炒股大赛优秀奖, 0
创新类项目复盘并提出改进问题和建议, 2
优化库存管理制度, 2
开朗, 1
抗挫力, 2
能够在高压环境下坚持学习，补充知识盲点，运用到项目中, 2
懂得自我规划，一步步朝目标前进, 0
抗压能力强, 2
良好的抗压能力, 2
性格开朗, 1
对互联网改变本地生活充满热情, 0
热爱, 0
完成人员及组织架构梳理优化, 2
配合内审、外审、完成体系认证, 1
协助推动体系内相关招聘项目开展, 1
通过与管理团队的紧密合作，领导和推动公司文化的建设, 1
积极主动，有较强的自驱力，目标导向, 0
协助管理层制定公司的长期战略, 1
正直, 0
针对新系统的工作流程提出优化方案, 2
有较强的抗压能力, 2
能抗压力, 2
沉稳, 0
负责搭建并持续优化国内供应商体系, 2
性格活泼，善于与人沟通与交流, 1
给销售部门提供预测判断依据, 1
为人正直, 0
能够承受一定的工作压力, 2
目标感强，自驱动强，高度负责, 0
协助市场经理制定广告媒体投放计划, 1
独立工作能力强，态度积极, 0
优秀助理辅导员, 0
结合现场条件和当地商圈情况等，进一步采取优化措施, 2
接受早晚倒班制, 2
优化库存结构, 2
工作激情, 0
学习能力强, 0
真实正直, 0
为人正直有韧性, 0
优化招聘制度和流程, 2
协助客户制定合理的集团定价策略, 1
学习钢琴，学习音乐相关知识，学习语言等等，环境适应能力强，能与不同性格的同事进行很好的合作工作, 2
责任心强, 0
负责管理猎头项目的客户资源，协调部门员工的分工，做好客户服务工作, 0
优化招聘流程，提升招聘效率, 2
善于学习自己感兴趣的知识和事物, 0
廉洁公正、品行端正, 0
具有较强的抗压能力, 2
有着良好的学习能力以及适应抗压能力，在毕业之后仍保持着对于不同事物的学习，学习与人沟通的话术, 2
优化各类型门店的商品配置及补货参数, 2
Identify service opportunities and work with relevant functional specialists (across different Business Units/Lines of Services) to upsell and broaden our support for our clients, 1
配合其他行政事务和团队建设等, 1
协助产品开发上市, 1
包容性强, 1
有拼搏精神、很强的内驱力和抗压能力, 2
性格活泼开朗，有责任心, 1
善沟通, 0
热爱所在的每一个行业, 0
协助对接投资机构，寻找合适的投资项目，完成项目立项意见，形成投资方案, 1
根据协会安排或者同学在校园内网影视系统提出的需求, 0
踏实认真, 0
抗压，愿意从基层做起, 2
与学生会等多个部门合作, 1
协助人力部门培训及团队活动具体事项, 1
协助财务经理处理日常工作, 1
乐观开朗，积极向上，脚踏实地, 1
在职期间，绩效成绩排名在团队第2名, 0
高度敬业精神, 0
有保密意识及良好职业道德, 0
2020年年度绩效为优秀，排名前10%-15%, 0
ERP、WMS系统逻辑优化, 2
优秀志愿者, 0
优化物流线路，制定物流串联机制，推行可视化仓储管理, 2
高效的执行能力, 0
高度的工作热忱, 0
勤于思考, 0
本人性格外向开朗，随和, 1
待人热情，为人随和，敢于沟通, 1
诚信、守正, 0
抗压能力强，适应较快工作节奏, 2
优化供应商导入及管理制度, 2
足够抗压, 2
协助制定及执行公司人力资源管理制度, 1
在工作中刻苦努力，积极肯干，善于动脑，具有主观能动性, 0
抗压能力强, 2
自我驱动, 0
协助项目投资过程中的协议起草、交易架构制定并协助完成出资, 1
推动供应链全链路降本, 2
诚实可信, 0
抗挫力, 2
有较强的抗压能力和适应能力, 2
具备良好的客户服务意识及售后处理能力, 0
头脑灵活，积极主动, 0
诚实守信、人品可靠, 0
优化供应链组织与流程，主导梳理、设计、研讨、修正、培训与试行了 36 个流程, 2
打破部门墙、提升供应链整体运作效率, 2
抗压性, 2
做事认真负责、能吃苦、愿意学, 0
自我驱动, 0
制定物流预算、优化审批标准, 2
具有较强的工作责任心, 0
完成社团的各项工作总结报告, 2
遇到困难时乐观积极、不会轻易气馁, 2
具备强烈的责任心, 0
良好的服务技巧, 0
优化商品结构, 2
期间获两年优秀部门、一年优秀部门总经理, 0
建立健全ROE 海外子公司各项财务管理流程制度, 2
具有很强的团队精神, 1
协助HR后台功能的健全发展，参与制订人力资源全面解决方案, 1
遵纪守法，为人正直, 0
领导并合作开展多次海外实地调研, 1
充满自信, 1
具有自我上进驱动力饱满的工作热情, 0
规范研发、市场等部门数据操作流程, 2
招聘分析复盘, 2
自我驱动力较强, 0
热爱HR相关工作，喜欢与人沟通, 0
能适应变化和承受较大的工作压力, 2
建立健全反腐败和职务侵占的制度和机制，推动公司企业文化建设, 2
协助制定组织架构、人员发展规划、内部激励政策、团队文化建设等工作, 1
独立负责深圳站全校招工作, 0
对端到端的流程进行重新梳理与优化，设计 S&OP 销售与运营计划体系, 2
协助组长进行小组业务与人员管理工作, 1
对工作富有责任心, 0
能够独立承担责任, 0
一定的美学素养，细节敏感，热衷跟设计抠像素, 0
结果导向、执行力强, 0
能承受较强的工作压力, 2
勤奋细致，执行力强，能在压力下工作, 2
结果导向, 0
学习能力强，能够快速了解公司业务，学习新的工作内容和流程, 0
领导了与食品行业的第一次跨行合作, 1
梳理与优化流程制度, 2
根据公司不同阶段发展需求，对招聘流程进行回顾和总结并不断进行优化, 2
共同开发新能源项目, 1
负责对接客户需求，保障客户的准时交付, 0
制定、落实风险管理办法, 2
协助产品部门做市场上的竞品分析，化学成分功效的分析, 2
成立生产异常现场处理小组, 2
与战略合作伙伴合作, 1
不断优化供应链各项指标，持续改善产品毛利, 2
系统性优化组织架构, 2
负责组织多部门建立 S&OP 体系, 1
提高盯市能力，主动分析和研判行业动态趋势与价格走势, 0
流程优化, 2
礼貌待人，获得领导的一致好评, 1
优化现有流程和品类评估, 2
能够在高压环境下坚持学习，补充知识盲点，运用到项目中, 2
敢于担当, 0
能适应高效率的工作节奏、良好的抗压能力, 2
校园模拟招聘竞赛三等奖, 0
