text,label
与各渠道KOL、博主洽谈商务合作, 2
统筹规划好每一个环节的人员落实到位, 2
文档撰写能力强, 2
落实供应资源的成本结构分析，落实采购优化及控制, 0
对平台预算异常情况预警、上报, 0
多渠道挖掘和猎取适岗人员，快速满足用人需求, 1
与候选人和内部客户保持积极有效的沟通, 2
联系并探访寄养儿童家庭, 2
组织大型赛事活动，管理社团相关事务, 0
策划组织开展院内活动, 0
根据集团、零售、事业群的战略、按照管理层讨论输出的战略屋和年度、季度、月度的财务达成预估数据，承接制定相应进销存退等供应链指标，并分解制定出季度、月度的达成重点工作计划, 0
沟通公司与中介机构、投资人间的上市相关事宜理, 2
亲和力强, 1
独⽴运营⻓⿅旅游休博园⼩红书官号，每⽉根据景区节假⽇以及⽹络热点独⽴撰写12篇稿件，持续输出景区相关的图⽂，进⾏图⽚设计并排版发布, 0
定期出具多主题多维度的管理报表、成本分析报告, 2
负责在抖音找符合条件的达人进行洽谈，合作拍摄视频，进行商品推广, 2
主导 财务标准作业流程的梳理, 1
统筹设立国内中心仓和海外仓, 1
负责销售目标的制定、分解、部署、监督实施, 0
负责客户接待：会议及展览服务，引导客户群体参观，负责沟通与登记信息, 2
完善薪酬及绩效管理体系, 1
建立和发展客户关系, 2
协助总裁的日常行政及管理事务处理, 2
向社团传递学校通知，解决问题，消息触达率 100%。与学校沟通重难点，保持信息畅通, 2
形成季度和月度完成情况的对标、评价、偏差分析和预警分析, 0
统筹组织备货备料, 2
制定并落实解决措施, 0
优秀的跨部门沟通和团队协作能力，能够强有力的推动不同产研和业务角色将工作落地，执行力强, 1
采购全程监控采购风险, 0
使赞助商利益最大化的同时为俱乐部成员、校队队员争取到了极大的资源空间, 2
负责农牧公司预算的编制、汇总、平衡、上报工作, 0
承担主要阶段性咨询模块客户解决方案的客户培训与辅导, 2
协助院长处理相关事务, 2
善于沟通协调, 2
通过科学有效的方法，推动个人才发展，组织发展和领导力项目, 0
主导梳理、设计、研讨、修正、培训与试行了 36 个流程, 1
制定西区所有门店整年品类空间调整计划, 0
维护现有客户关系，建立新客户联系，开拓新市场, 2
从0-1搭建财务团队，负责100+的省区财务团队人员管理工作，通过1年体系化的培训和生产关系重组，到12月底实现人员-15%，效率+20%, 1
有较强的沟通表达能力, 2
成功建立起“领先”系列雇主品牌与校园人才平台, 0
与第三方人力资源公司对接, 2
文字输出能力, 2
推行集采及招/邀标采购策略, 0
协调机构与项目内部关系、对外交流及日常管理等工作, 2
负责专业公司物质采购、仓库以及各项公款账期的统筹管理, 0
良好的沟通能力, 2
从0到1运营账号涨粉1000+，爆⽂5+；30天内总阅读2w+，点赞600+，收藏500+，粉丝新增200+, 0
建立和完善公司财务核算和管理制度、财务核算体系和财务监控体系, 0
做好客户，仓库客户关系维护, 2
承担全省（中移动互联网基地，2 家企业学院， 23 家地市公司，4 万员工）的招聘选拔体系实施, 0
带领团队进行业务年度预算&日常经营分析管理、SOX 合规风控流程设计、核算&收付款风险评估、国际关税解决方案, 1
制定月度排产、出货目标, 0
规划月度需求计划，制定周计划及执行, 0
制定所负责区域营运管理计划和方案，并组织实施, 1
能在规定限期内完成多个项目, 0
负责公司内部的文书工作，制定公司规章制度与合同的拟定, 2
根据半年/季/月度销售预测及周客户订单产能负荷分析结果制定产能分流计划, 0
组织能力, 0
倾听和理解参与者需求，分析市场趋势和受众特点，在活动中提供独特的创意和观点, 2
换位思考能力, 1
业务部门组织文化建设项目，以“成就更好的自己”为主题，打造德智体美劳全方位发展的万科合伙人，提升员工归属感及文化认同, 0
熟练掌握中文、英文及粤语, 2
负责建立企业的人才储备库, 0
随时答复领导对销售动态情况的质询, 2
负责协助上级完成公司行政任务, 2
帮助销售店内商品，推销及登记, 2
学生会外联部部长, 1
指导和管理采购员执行季度月度采购计划, 1
英语水平良好, 2
起草尽调报告、上市整改计划, 2
负责各类活动计划与执行, 0
带领团队完成年终分析项目，合理分配人力并给予有效指引, 1
英文流利，可作为工作语言, 2
服务客户数据需求，提供可视化数据及PPT汇报, 2
参与总部一个或多个领域的具体工作落地, 0
开展数据规则及流程实施专项, 0
对人选进行初筛、电话面试、制作推荐简历、安排面试等, 2
不定期支持业务评估组织架构和人才盘点, 0
策划并落地品牌IP活动、大型市场活动, 0
负责人力资源各项制度在部门的落地执行, 0
带领团队支持年超 200 亿元订单交付，年采购额超 100 亿元采购管理工作, 1
带领团队打造最佳人才管理实践并在行业内落地推广, 1
负责推动面试流程开展，和业务部门沟通面试反馈，并跟进后续安排, 2
根据产品和物料特性、规模、行业竞争力等因素制定合适的议价策略, 0
撰写公司投资会文件, 2
谈判能力, 2
通过供应商实地考察、价格谈判、合同签订等方式，2 个月内引进 4 家 OEM 产品供应商, 2
对交付各环节的异常做协同、推动处理, 2
保持团队工作热情, 1
负责督促、检查各部门是否能够按时将总经理的决定进行贯彻落实, 2
能独立完成所负责行业、国内外标杆企业的持续跟踪研究, 0
实习期间共负责 11 个岗位的招聘，独立负责的岗位 100%完成招聘任务, 0
提炼各团队关键绩效指标，推进量化绩效考核, 1
在对客户业务深刻管理洞察的基础上进行有效沟通, 2
制定和达成公司的财务目标, 0
与客户沟通，了解客户需求，与客户建立良好的合作关系，及时解决客户的问题, 2
具备优秀的对外沟通协调能力，能够拉通对外集成的诉求，推动上下游解决问题, 2
跨部门紧密合作, 2
同海外local财务团队沟通, 2
高效拆解目标、推进项目执行, 1
协助零部件测试及项目完成产品开发, 2
制定部门工作计划与目标，审核部门人员工作总结与计划, 0
与制作人员协商项目的时间节点，精准把握每一个环节, 2
设计员工的成长路径与培养方案, 1
为业务部门落实有效的人力资源解决方案, 0
招聘体系搭建、团队赋能、年度规划与成本管控, 1
负责推动员工沟通计划，负责领导员工满意度调查的行动计划的制定, 0
与项目经理、同事协调工作，保持沟通高效, 2
谈判能力, 2
组织开展行业研究及风险评估，及时提出具有针对性之风险预警，输出管理建议，为经营决策提供财务专业支持, 0
具备较高的情商, 1
梳理招聘录用的流程并形成闭环管理, 0
善于沟通协调, 2
与客户沟通了解其多方面需求, 2
定期组织团建活动或培训活动, 0
改善生产运营流程, 0
召集各专业的学生对私人时间进行梳理, 2
擅长团队内部的计划、沟通、协调、执行, 1
有极强的业务把控能力和统筹能力，良好的团管理和激励能力, 1
根据抖⾳商⼾定位需求制定运营计划，提供团购套餐设计，帮助商家在抖⾳来客管理团购套餐, 0
以咨询解答企业税务问题为主（先通过电话，后微信沟通，类似咨询顾问、客服等工作性质）, 2
捍卫公司/员工的底线要求，温和坚定地解决问题, 1
公关能力, 2
主持组织班级会议及活动, 0
在对客户业务深刻管理洞察的基础上进行有效沟通, 2
出色的文案书写能力，能够在不同合作伙伴前建立清晰的，令人信服的表述, 2
执行能力强, 0
和业务部门沟通面试反馈，并跟进后续安排, 2
负责建立供需管理部门，兼任部门战略支持专家，对供需管理指标负责, 0
全面负责 ROE 公司及其海外子公司整体财务运作, 0
担任讲师进行培训, 2
牵头追踪关键物料市场, 0
撰写文章, 2
对市场销售数据、成品排产计划与库存进行实时分析, 2
组织各部⻔开展联合活动，进⾏协会团建, 1
全员目标沟通与辅导, 1
参与机构活动的组织、宣传等工作, 0
洽谈商务合作，推进合作项目进程，协助谈成多单 10w+的商务合作, 2
能够独立完成领域内的工作, 0
牵头采购等相关部门组织制定年度采购策略并实施反馈, 2
协助组织完成大型校级活动, 2
寻找社团赞助商进行沟通交流，完成社团的赞助工作, 2
具备出色的项目谈判和管控能力, 2
与客户中高层进行深度沟通, 2
优秀的跨部门沟通和团队协作能力，能够强有力的推动不同产研和业务角色将工作落地，执行力强, 1
给战区总监、城市总经理和集团负责人统计好每周每月数据，以 PPT 形式汇报，总结分析周月数据, 2
协助市场销售物料采购, 0
公司消息资讯的上传下达, 2
执行年度审计计划, 0
对区域营运进行自动补货培训, 1
提供库存商品及采购供应数据分析报告, 2
撰写针对性解决方案, 2
良好的沟通能力和团队合作精神，有一定的组织协调能力, 2
负责销售团队的建设和成长，培养专业的销售团队，建立销售团队激励机制，激发销售人员进行客户开拓和维护, 1
发挥团队订货、线上线下营销协同、提升供应商履约、优化营运管损等方面的链路打通价值, 1
具备优秀的沟通能力和组织能力, 2
对接政府事宜, 2
现场方案沟通呈现, 2
通过人员结构调整，物理位置变动，头部腰部尾部团队组建，省区变大区的方式，实现减员-20%，提效20%, 1
负责简历筛选并与候选人进行初步的电话沟通及面试的安排, 2
负责公司文件起草, 2
Produce reports and prepare key summary section, 2
协助供应链总监做好物料采购工作, 2
负责对接海外客户并详细讲解项目的工作流程以及时间上的安排, 2
通过合作方、券商、FA 和三方协会等渠道拓展投资项目, 2
大学英语测试六级(CET-6), 2
执行力强, 0
纪录各项大型会议，晚会, 2
对于新门店、门店新入职经纪人、新同事做好相关规则事项的培训赋能, 0
作为项目的接口人，主动跟进客户需求，组织客户讨论和项目汇报, 2
具备流利的英文听、说、读、写能力, 2
比赛策划书撰写, 2
负责协调活动策划，推广和执行工作，培养良好的团队协作和沟通能力, 2
帮助销售经理开拓、沟通和管理区域的重要客户，并负责协调维护市场与技术关系, 2
曾作为轮滑社副社长参带领轮滑社获得学习十大优秀社团, 1
PPP\F+EPC\商业 BT 类项目价值识别研判、模式设计、合规性论证与筹划以及商务条件谈判, 2
具备良好的沟通能力和团队协作精神，能够与同事和领导保持良好的合作关系, 2
良好的沟通、协调能力, 2
建立库存管控、订单及出货业绩的财务监管机制, 0
有团队协作精神；具备团队协作能力, 1
金蝶云社区核心团队组建，成功招聘数据库内核工程师、高级互联网运营、大数据工程师、NLP 工程师等职位, 1
协助部门完成资源链接工作, 2
撰写公司战略分析（功能建设方案、十四五规划等）、经营分析报告, 2
与客户管理层建立良好的互动关系，保持与客户高层稳定粘性, 2
制订门店转型订货策略, 0
实施目标分拆和商务谈判, 0
策划项目方案，编写主要模块（组织结构设计、职位分析、薪酬体系设计、绩效管理体系设计等）的方案设计，审定项目整体方案, 2
在销售人员缺席时，及时转告客户信息，妥善处理, 2
团队人员从 7 人扩编至 15 人，重点进行梯队建设和能力补充, 1
成功实施企业移动学习平台外部客户推广, 0
统筹管理本项目组交付工作，负责协调处理各类生产中的异常情况，保障生产的正常化，均衡化, 2
有很好的向上和向下的管理能力, 2
撰写项目评估报告、投资建议书等材料, 2
活动举办前与各部门沟通、协作，以顺利进行工作, 2
协调驱动营运、工程、供应链等部门, 2
协调各部门采取有效行动减少缺货和管损, 2
有效调动部门间订单执行力, 1
优秀的语言组织能力, 2
预算目标匡算，结合本公司业务情况，根据公司战略规划中财务指标和业务指标以及内外部因素的变化，确定公司预算目标，并据此开展预算编制, 0
作为项目负责人，开发了 13 款产品，拥有 8 项专利，帮助创造了约 3 亿的销售额, 1
执行招聘、甄选、面试、选择、安置工作，保证招聘任务完成的及时性, 0
具备较强产品洞察力和敏锐感，善于发掘用户潜在需求，具有一定的行业前瞻性, 0
与合适的候选人进行沟通，了解候选人的信息以及进一步介绍企业岗位的情况，根据沟通判断候选人是否与企业的需求匹配，主要针对工作经历的匹配度，学历，工作内容以及工作业绩进行需求匹配, 2
参与项目商务谈判、尽职调查、可行性研究, 2
负责梳理各部门的培训内容，协调用人部门情况做人物画像分配, 0
良好的跨部门沟通能力和团队协作能力, 2
在安排各项事物性工作和日程方面较为出色, 0
很强的判断能力及抉择能力, 0
带领团队 35 人，三层架构, 1
对接品牌，开拓KOC/KOL资源100+，匹配UGC600+，并沟通合作细节，后续根据Brief审核稿件，维持稳定合作, 2
负责公司融资事务处理, 0
为校队队员组织一系列训练计划，带领校队队员进行系统性训练, 0
根据项目经理的安排，承担一定的工作分工, 0
通过业务流程及组织架构优化提升团队整体协作能力和效能, 1
熟悉供应商情况，建立合理的供应链，并维系与供应商关系, 2
Plan and execute engagements that deliver a superior client experience, 0
根据年/季/月度销售需求预测、产品运营策略和供应资源能力, 0
开发全行绩效发展辅导体系, 0
按业绩做滚动多周预测，推行双轨计划，周计划驱动备料，日计划驱动生产, 0
负责区域内客户建联, 2
关注员工的培养与融入，做好人才管理、保留、员工关系处理等工作, 1
良好的沟通及人际理解能力, 2
年度预算编制，参与整体 KPI设计和分解以及财务绩效管理, 0
通过电话、微信等⽅式挖掘潜在客⼾，积极与⽬标客⼾沟通，针对客⼾问题给出满意⽅案，将潜在客⼾转化为意向客⼾, 2
较好的倾听能力, 2
负责对宝洁、金佰利、雀巢、MARS、APP 等品牌招商和销售规划、负责采购、销售、毛利等关键指标的达成, 0
协助推动体系内相关招聘项目开展, 2
有较强的商务谈判能力，分析能力和沟通协调, 2
组织敬业度调查、员工交流、评优、愿景周、家属参观日等活动, 0
撰写项目建议书，编制投标主要文件和项目合同, 2
善于沟通协调, 2
能对产品的各环节精准把控，有产品的全局观, 0
⼊职半个⽉完成⽼学员续费！整理学员信息，维护新⽼学员的关系，提⾼学员满意度，达成转介绍与续费, 2
面向各行各业尤其是 b 端客户进行业务扩展和触达, 2
下达采购任务并监督、检查采购员执行情况, 1
保持与客户良好的沟通，与客户讨论并起草管理建议书, 2
组织团体活动, 1
挑选合适的本地⽣活账号，进⾏探店打卡，与200+的⼴东以及湖南两个地区的本地⽣活博主合作, 0
具有高质高效的PPT编写制作能力, 2
建设及培训财务团队, 1
撰写各类文案和内容物料, 2
听说读写流利；海外独立留学和工作多年, 2
组织落实周计划执行，保障交付计划达成, 0
有丰富的带团队以及表演经验，曾在学校的舞蹈俱乐部担任街舞队队长，多次带领团队参加学校的许多表演活动，而在琴行工作期间也需多次向学生展示教学，活动组织策划经验较为丰富，多次组织策划多场表演和比赛, 1
牵头两家企业学院建立“智慧型组织”培训体系, 2
在对口部门中将公司文化进行落地、融合、传承, 2
管理项目团队，对团队成员提供专业指导和技术支持, 1
执行力强, 0
